"id","name","title","gender","birth_date","death_date","min_offset_to_royal","min_dist_to_royal","x","y"
"I668","Ernst von Seherr-Thoss","Count","M",1733,,"5.5","15",-79.7032831242709,1109.06892210128
"I669","Hermann von Seherr-Thoss","Count","M",1758,,"5.5","15",-62.734477772218,1074.71963411255
"I670","Unknown ","","F",1758,,"5.5","16",-49.8415659741238,1074.55132100116
"I671","Marguerite ","","F",1783,,"5.5","16",-41.836084420056,1030.0174235087
"I672","Lajos Apponyi de Nagy-Appony","Count","M",1783,,"5.5","17",-73.5695121116724,1035.95537727144
"I673","Cyula Apponyi de Nagy-Appony","Count","M",1808,,"5.5","17",-68.630977532716,989.287371238359
"I674","Unknown ","","F",1808,,"5.5","18",-79.6339072892168,981.365887590154
"I675","Geraldine ","","F",1833,,"5.5","18",-72.9845836257404,932.616784516879
"I676","Zog I of Albania","King","M",1833,,"5.5","19",-106.768410866241,930.502827413061
"I677","Leka I of Albania","King","M",1858,,"5.5","19",-98.3268008714748,873.642652283798
"I678","Karl of Austria","Archduke","M",1808,,"8","6",332.776083743331,980.017011668613
"I679","Henriette ","","F",1808,,"8","6",301.270347858398,979.554888130063
"I680","Karl Ferdinand","","M",1833,,"8","5",332.22545705798,927.002639889439
"I681","Unknown ","","F",1833,,"8","5",310.954365816266,925.787483111459
"I682","Maria Cristina of Austria","Queen of Spain","F",1858,1929,"8","4",325.478236106912,865.411637460477
"I683","Alfonso XII ","King of Spain","M",1857,1885,"8","4",309.517389710574,870.514700328161
"I684","Joseph of Austria","Archduke","M",1796,,"6","7",-111.376350991332,996.24658375083
"I685","Elisabeth of Austria","Archduchess","F",1824,,"3.5","7",-242.685714389769,953.454988728155
"I686","Ferdinand of Austria-Este","Archduke","M",1824,,"1","7",-405.662256135091,952.197803289253
"I687","Maria Theresa","","F",1849,1919,"1","6",-439.024407802181,895.924425506186
"I688","Ludwig III  (Wittelsbach)","King of Bavaria","M",1845,1921,"1","6",-514.363246027056,902.781694081237
"I689","Rupprecht of Bavaria","Crown Prince","M",1869,1955,"1","5",-476.879316213139,804.794274250886
"I690","Maria Gabriele of Bavaria","","F",1878,1912,"2","5",-433.057189294799,796.036944665087
"I691","Albrecht (Albert)","Duke of Bavaria","M",1905,,"1","4",-473.324951066824,694.180943691484
"I692","George of Denmark","Prince","M",1653,1708,"5","12",-132.582106470176,1186.98671647351
"I693","Anne  (Stuart)","Queen of England","F",1665,1714,"5","13",-107.191207125116,1180.16729764116
"I694","Daughter ","","F",1684,1684,"5","13",-94.5557063272552,1162.95937010576
"I695","Mary ","","F",1685,1687,"5","13",-154.243091057,1167.46390261793
"I696","Anne Sophia","","F",1686,1687,"5","13",-167.96500450656,1162.47378898995
"I697","Son ","","M",1687,1687,"5","13",-140.94114696286,1162.25810373517
"I698","William of Gloucester","Duke","M",1689,1700,"5","13",-156.160531102753,1156.2434487674
"I699","Mary ","","F",1690,1690,"5","13",-140.888237350315,1153.36615565583
"I700","George ","","M",1692,1692,"5","13",-106.253323316452,1153.29463897822
